latitude,longitude
24.713552,120.93586
24.713901,120.93602
24.714581,120.936027
24.715492,120.935506
24.71567,120.935495
24.715142,120.936722
24.716009,120.937654
24.71663,120.938495
24.717838,120.93822
24.719839,120.93848
24.72466,120.937473
24.717352,120.930002
24.718529,120.930589
24.720135,120.930913
24.715353,120.922292
24.716667,120.923279
24.717554,120.923722
24.718093,120.923784
24.717479,120.923965
24.716873,120.923678
24.717293,120.924457
24.717518,120.924619
24.725074,120.937162
24.726534,120.936845
24.726545,120.936417
24.726703,120.938046
24.726752,120.938521
24.727205,120.936128
24.727635,120.936486
24.727964,120.936717
24.728117,120.93669
24.729459,120.935873
24.729544,120.936154
24.729572,120.936248
24.729656,120.936461
24.729791,120.936707
24.729859,120.936876
24.730039,120.937204
24.730261,120.937802
24.730336,120.939054
24.730287,120.940179
24.720588,120.924964
24.724322,120.925823
24.724503,120.925902
24.72489,120.926744
24.725362,120.927004
24.725495,120.928113
24.72566,120.928656
24.726135,120.929442
24.725783,120.92973
24.725269,120.929012
24.724892,120.929589
24.727192,120.931138
24.727906,120.932684
24.729011,120.934756
24.720243,120.91794
24.72058,120.918532
24.720916,120.918838
24.720924,120.91883
24.721573,120.919211
24.72697,120.918042
24.726461,120.916428
24.72844,120.917244
24.729717,120.916924
24.73018,120.916789
24.730946,120.916251
24.731264,120.915857
24.731708,120.915422
24.73181,120.915217
24.734024,120.913114
24.735329,120.912752
24.730576,120.935704
24.731728,120.935886
24.73206,120.936087
24.734014,120.935744
24.734628,120.935739
24.735618,120.936901
24.736192,120.937886
24.738585,120.940714
24.746858,120.942853
24.746909,120.943408
24.74833,120.947167
24.748327,120.948165
24.748598,120.948424
24.749384,120.948678
24.75144,120.94939
24.752128,120.94937
24.753545,120.950152
24.753301,120.951745
24.753235,120.952016
24.754683,120.953997
24.754585,120.954528
24.7544,120.956068
24.754497,120.956547
24.75542,120.957577
24.755559,120.957996
24.745397,120.929311
24.745391,120.929301
24.745179,120.929774
24.745059,120.931143
24.745218,120.932162
24.746257,120.934009
24.746181,120.934782
24.745996,120.935766
24.746929,120.937054
24.747908,120.93767
24.749055,120.937432
24.750091,120.937812
24.750536,120.937979
24.751656,120.938304
24.740233,120.904553
24.740587,120.901026
24.740428,120.900239
24.739122,120.896768
24.737109,120.895912
24.740709,120.89904
24.739625,120.896884
24.738132,120.892242
24.737217,120.890252
24.736871,120.889581
24.735682,120.887293
24.734715,120.885555
24.736917,120.886413
24.741913,120.895052
24.7455,120.922473
24.745573,120.921363
24.745443,120.921012
24.745263,120.920632
24.745101,120.918179
24.744407,120.916477
24.744124,120.915844
24.742927,120.911811
24.742752,120.908531
24.742683,120.908191
24.739692,120.909936
24.740747,120.909286
24.745691,120.906397
24.746147,120.906336
24.744556,120.905872
24.744053,120.905897
24.743388,120.905937
24.742742,120.905991
24.741004,120.906138
24.742733,120.905978
24.743387,120.905951
24.744053,120.905888
24.744538,120.905853
24.745387,120.904769
24.740998,120.906141
24.750322,120.908474
24.750881,120.908758
24.755141,120.910723
24.755543,120.910857
24.756669,120.910396
24.75644,120.910219
24.756068,120.909914
24.755782,120.909728
24.755591,120.909627
24.754949,120.909225
24.754562,120.908901
24.754408,120.908716
24.754189,120.908491
24.753996,120.908173
24.75347,120.907507
