latitude,longitude
24.803760, 120.983749
24.768190, 121.018988
24.775343, 121.018984
24.783084, 121.011504
24.780407, 121.007245
24.779175, 121.010074
24.792162, 120.973702
24.791681, 120.973887
24.799087, 120.964350
24.798710, 120.963827
24.799475, 120.964937
24.800355, 120.966251
24.807772, 120.970131
24.807408, 120.970412
24.806985, 120.970753
24.806087, 120.970600
